Date and Time Run 1,Time (s) Run 1,Temperature (°C) Run 1,Date and Time Run 2,Time (s) Run 2,Temperature (°C) Run 2
10/21/2020 02:11:30 pm,67.000,32.2,10/21/2020 02:13:23 pm,67.000,26.5
10/21/2020 02:11:30 pm,67.500,32.2,10/21/2020 02:13:23 pm,67.500,26.3
10/21/2020 02:11:31 pm,68.000,32.3,10/21/2020 02:13:24 pm,68.000,26.2
10/21/2020 02:11:31 pm,68.500,32.3,10/21/2020 02:13:24 pm,68.500,26.0
10/21/2020 02:11:32 pm,69.000,32.3,10/21/2020 02:13:25 pm,69.000,25.8
10/21/2020 02:11:32 pm,69.500,32.3,10/21/2020 02:13:25 pm,69.500,25.6
10/21/2020 02:11:33 pm,70.000,32.3,10/21/2020 02:13:26 pm,70.000,25.4
10/21/2020 02:11:33 pm,70.500,32.3,10/21/2020 02:13:26 pm,70.500,25.3
10/21/2020 02:11:34 pm,71.000,32.3,10/21/2020 02:13:27 pm,71.000,25.1
10/21/2020 02:11:34 pm,71.500,32.3,10/21/2020 02:13:27 pm,71.500,25.0
10/21/2020 02:11:35 pm,72.000,32.3,10/21/2020 02:13:28 pm,72.000,24.9
10/21/2020 02:11:35 pm,72.500,32.3,10/21/2020 02:13:28 pm,72.500,24.8
10/21/2020 02:11:36 pm,73.000,32.3,10/21/2020 02:13:29 pm,73.000,24.7
10/21/2020 02:11:36 pm,73.500,32.3,10/21/2020 02:13:29 pm,73.500,24.6
10/21/2020 02:11:37 pm,74.000,32.3,10/21/2020 02:13:30 pm,74.000,24.5
10/21/2020 02:11:37 pm,74.500,32.4,10/21/2020 02:13:30 pm,74.500,24.4
10/21/2020 02:11:38 pm,75.000,32.4,10/21/2020 02:13:31 pm,75.000,24.3
10/21/2020 02:11:38 pm,75.500,32.4,10/21/2020 02:13:31 pm,75.500,24.2
10/21/2020 02:11:39 pm,76.000,32.4,10/21/2020 02:13:32 pm,76.000,24.1
10/21/2020 02:11:39 pm,76.500,32.4,10/21/2020 02:13:32 pm,76.500,24.0
10/21/2020 02:11:40 pm,77.000,32.4,10/21/2020 02:13:33 pm,77.000,23.9
10/21/2020 02:11:40 pm,77.500,32.4,10/21/2020 02:13:33 pm,77.500,23.8
10/21/2020 02:11:41 pm,78.000,32.4,10/21/2020 02:13:34 pm,78.000,23.8
10/21/2020 02:11:41 pm,78.500,32.4,10/21/2020 02:13:34 pm,78.500,23.6
10/21/2020 02:11:42 pm,79.000,32.4,10/21/2020 02:13:35 pm,79.000,23.6
10/21/2020 02:11:42 pm,79.500,32.4,10/21/2020 02:13:35 pm,79.500,23.5
